partei,stimmen,prozent,wk
CDU,1511,"18,9 (+0,0)",38
GRÜNE,2617,"32,7 (+0,1)",38
SPD,1434,"17,9 (+0,1)",38
AfD,456,"5,7 (+0,0)",38
FDP,588,"7,4 (+0,0)",38
DIE LINKE,1070,"13,4 (+0,0)",38
FREIE WÄHLER,94,"1,2 (-0,0)",38
Tierschutzpartei,51,"0,6 (-0,0)",38
Die PARTEI,71,"0,9 (-0,0)",38
PIRATEN,30,"0,4 (-0,0)",38
ÖDP,14,"0,2 (-0,0)",38
Verjüngungsforschung,0,"0,0 (+0,0)",38
V-Partei³,0,"0,0 (+0,0)",38
PdH,0,"0,0 (+0,0)",38
ABG,0,"0,0 (+0,0)",38
APPD,0,"0,0 (+0,0)",38
dieBasis,0,"0,0 (+0,0)",38
DKP,0,"0,0 (+0,0)",38
DIE NEUE MITTE,0,"0,0 (+0,0)",38
Volt,0,"0,0 (+0,0)",38
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",38
