partei,stimmen,prozent,wk
CDU,2444,"24,1 (-4,5)",52
GRÜNE,1712,"16,9 (-3,2)",52
SPD,1586,"15,7 (-2,9)",52
AfD,1106,"10,9 (-2,1)",52
FDP,616,"6,1 (-1,1)",52
DIE LINKE,482,"4,8 (-0,9)",52
FREIE WÄHLER,248,"2,4 (-0,5)",52
Tierschutzpartei,88,"0,9 (-0,2)",52
Die PARTEI,54,"0,5 (-0,1)",52
PIRATEN,45,"0,4 (-0,1)",52
ÖDP,20,"0,2 (-0,0)",52
Verjüngungsforschung,0,"0,0 (+0,0)",52
V-Partei³,0,"0,0 (+0,0)",52
PdH,0,"0,0 (+0,0)",52
ABG,0,"0,0 (+0,0)",52
APPD,0,"0,0 (+0,0)",52
dieBasis,0,"0,0 (+0,0)",52
DKP,0,"0,0 (+0,0)",52
DIE NEUE MITTE,0,"0,0 (+0,0)",52
Volt,0,"0,0 (+0,0)",52
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",52
