partei,stimmen,prozent,wk
CDU,2961,"28,9 (+0,6)",19
GRÜNE,1760,"17,2 (+0,4)",19
SPD,2270,"22,2 (+0,5)",19
AfD,1488,"14,5 (+0,3)",19
FDP,655,"6,4 (+0,1)",19
DIE LINKE,508,"5,0 (+0,1)",19
FREIE WÄHLER,460,"4,5 (+0,1)",19
Tierschutzpartei,99,"1,0 (+0,0)",19
Die PARTEI,72,"0,7 (+0,0)",19
PIRATEN,33,"0,3 (-0,0)",19
ÖDP,18,"0,2 (-0,0)",19
Verjüngungsforschung,0,"0,0 (+0,0)",19
V-Partei³,0,"0,0 (+0,0)",19
PdH,0,"0,0 (+0,0)",19
ABG,0,"0,0 (+0,0)",19
APPD,0,"0,0 (+0,0)",19
dieBasis,0,"0,0 (+0,0)",19
DKP,0,"0,0 (+0,0)",19
DIE NEUE MITTE,0,"0,0 (+0,0)",19
Volt,0,"0,0 (+0,0)",19
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",19
