partei,stimmen,prozent,wk
CDU,2202,"24,1 (-0,9)",51
GRÜNE,1929,"21,1 (-0,8)",51
SPD,1839,"20,1 (-0,8)",51
AfD,1069,"11,7 (-0,4)",51
FDP,650,"7,1 (-0,3)",51
DIE LINKE,532,"5,8 (-0,2)",51
FREIE WÄHLER,234,"2,6 (-0,1)",51
Tierschutzpartei,103,"1,1 (-0,1)",51
Die PARTEI,59,"0,6 (-0,0)",51
PIRATEN,47,"0,5 (-0,0)",51
ÖDP,23,"0,3 (-0,0)",51
Verjüngungsforschung,0,"0,0 (+0,0)",51
V-Partei³,0,"0,0 (+0,0)",51
PdH,0,"0,0 (+0,0)",51
ABG,0,"0,0 (+0,0)",51
APPD,0,"0,0 (+0,0)",51
dieBasis,0,"0,0 (+0,0)",51
DKP,0,"0,0 (+0,0)",51
DIE NEUE MITTE,0,"0,0 (+0,0)",51
Volt,0,"0,0 (+0,0)",51
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",51
