partei,stimmen,prozent,wk
CDU,3092,"32,6 (+0,1)",23
GRÜNE,2066,"21,8 (+0,1)",23
SPD,1370,"14,4 (+0,0)",23
AfD,1103,"11,6 (+0,0)",23
FDP,929,"9,8 (+0,0)",23
DIE LINKE,456,"4,8 (+0,0)",23
FREIE WÄHLER,196,"2,1 (+0,0)",23
Tierschutzpartei,88,"0,9 (-0,0)",23
Die PARTEI,45,"0,5 (-0,0)",23
PIRATEN,45,"0,5 (-0,0)",23
ÖDP,17,"0,2 (-0,0)",23
Verjüngungsforschung,0,"0,0 (+0,0)",23
V-Partei³,0,"0,0 (+0,0)",23
PdH,0,"0,0 (+0,0)",23
ABG,0,"0,0 (+0,0)",23
APPD,0,"0,0 (+0,0)",23
dieBasis,0,"0,0 (+0,0)",23
DKP,0,"0,0 (+0,0)",23
DIE NEUE MITTE,0,"0,0 (+0,0)",23
Volt,0,"0,0 (+0,0)",23
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",23
