partei,stimmen,prozent,wk
CDU,1051,"18,2 (+0,0)",4
GRÜNE,1241,"21,5 (+0,0)",4
SPD,1308,"22,6 (+0,0)",4
AfD,742,"12,8 (+0,0)",4
FDP,313,"5,4 (-0,0)",4
DIE LINKE,723,"12,5 (+0,0)",4
FREIE WÄHLER,131,"2,3 (-0,0)",4
Tierschutzpartei,49,"0,8 (-0,0)",4
Die PARTEI,53,"0,9 (-0,0)",4
PIRATEN,49,"0,8 (-0,0)",4
ÖDP,19,"0,3 (-0,0)",4
Verjüngungsforschung,0,"0,0 (+0,0)",4
V-Partei³,0,"0,0 (+0,0)",4
PdH,0,"0,0 (+0,0)",4
ABG,0,"0,0 (+0,0)",4
APPD,0,"0,0 (+0,0)",4
dieBasis,0,"0,0 (+0,0)",4
DKP,0,"0,0 (+0,0)",4
DIE NEUE MITTE,0,"0,0 (+0,0)",4
Volt,0,"0,0 (+0,0)",4
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",4
