partei,stimmen,prozent,wk
CDU,2269,"22,9 (-1,4)",30
GRÜNE,2277,"23,0 (-1,5)",30
SPD,1551,"15,6 (-1,0)",30
AfD,1087,"11,0 (-0,7)",30
FDP,831,"8,4 (-0,5)",30
DIE LINKE,842,"8,5 (-0,5)",30
FREIE WÄHLER,156,"1,6 (-0,1)",30
Tierschutzpartei,74,"0,7 (-0,1)",30
Die PARTEI,62,"0,6 (-0,0)",30
PIRATEN,36,"0,4 (-0,0)",30
ÖDP,25,"0,3 (-0,0)",30
Verjüngungsforschung,0,"0,0 (+0,0)",30
V-Partei³,0,"0,0 (+0,0)",30
PdH,0,"0,0 (+0,0)",30
ABG,0,"0,0 (+0,0)",30
APPD,0,"0,0 (+0,0)",30
dieBasis,0,"0,0 (+0,0)",30
DKP,0,"0,0 (+0,0)",30
DIE NEUE MITTE,0,"0,0 (+0,0)",30
Volt,0,"0,0 (+0,0)",30
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",30
