partei,stimmen,prozent,wk
CDU,2539,"28,7 (+1,9)",31
GRÜNE,2021,"22,8 (+1,5)",31
SPD,1781,"20,1 (+1,4)",31
AfD,1216,"13,7 (+0,9)",31
FDP,821,"9,3 (+0,6)",31
DIE LINKE,604,"6,8 (+0,5)",31
FREIE WÄHLER,214,"2,4 (+0,2)",31
Tierschutzpartei,73,"0,8 (+0,1)",31
Die PARTEI,50,"0,6 (+0,0)",31
PIRATEN,35,"0,4 (+0,0)",31
ÖDP,27,"0,3 (+0,0)",31
Verjüngungsforschung,0,"0,0 (+0,0)",31
V-Partei³,0,"0,0 (+0,0)",31
PdH,0,"0,0 (+0,0)",31
ABG,0,"0,0 (+0,0)",31
APPD,0,"0,0 (+0,0)",31
dieBasis,0,"0,0 (+0,0)",31
DKP,0,"0,0 (+0,0)",31
DIE NEUE MITTE,0,"0,0 (+0,0)",31
Volt,0,"0,0 (+0,0)",31
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",31
