partei,stimmen,prozent,wk
CDU,1675,"21,9 (+0,7)",7
GRÜNE,1298,"17,0 (+0,5)",7
SPD,2399,"31,4 (+1,0)",7
AfD,1012,"13,2 (+0,4)",7
FDP,543,"7,1 (+0,2)",7
DIE LINKE,398,"5,2 (+0,2)",7
FREIE WÄHLER,337,"4,4 (+0,1)",7
Tierschutzpartei,77,"1,0 (+0,0)",7
Die PARTEI,34,"0,4 (+0,0)",7
PIRATEN,35,"0,5 (+0,0)",7
ÖDP,9,"0,1 (-0,0)",7
Verjüngungsforschung,0,"0,0 (+0,0)",7
V-Partei³,0,"0,0 (+0,0)",7
PdH,0,"0,0 (+0,0)",7
ABG,0,"0,0 (+0,0)",7
APPD,0,"0,0 (+0,0)",7
dieBasis,0,"0,0 (+0,0)",7
DKP,0,"0,0 (+0,0)",7
DIE NEUE MITTE,0,"0,0 (+0,0)",7
Volt,0,"0,0 (+0,0)",7
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",7
