partei,stimmen,prozent,wk
CDU,1810,"29,4 (+2,3)",11
GRÜNE,841,"13,7 (+1,0)",11
SPD,1646,"26,8 (+2,0)",11
AfD,1141,"18,5 (+1,4)",11
FDP,475,"7,7 (+0,6)",11
DIE LINKE,281,"4,6 (+0,3)",11
FREIE WÄHLER,273,"4,4 (+0,3)",11
Tierschutzpartei,52,"0,8 (+0,1)",11
Die PARTEI,30,"0,5 (+0,0)",11
PIRATEN,17,"0,3 (+0,0)",11
ÖDP,11,"0,2 (+0,0)",11
Verjüngungsforschung,0,"0,0 (+0,0)",11
V-Partei³,0,"0,0 (+0,0)",11
PdH,0,"0,0 (+0,0)",11
ABG,0,"0,0 (+0,0)",11
APPD,0,"0,0 (+0,0)",11
dieBasis,0,"0,0 (+0,0)",11
DKP,0,"0,0 (+0,0)",11
DIE NEUE MITTE,0,"0,0 (+0,0)",11
Volt,0,"0,0 (+0,0)",11
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",11
