partei,stimmen,prozent,wk
CDU,2463,"25,5 (+0,1)",48
GRÜNE,1897,"19,6 (+0,1)",48
SPD,2081,"21,5 (+0,1)",48
AfD,1264,"13,1 (+0,0)",48
FDP,620,"6,4 (+0,0)",48
DIE LINKE,605,"6,3 (+0,0)",48
FREIE WÄHLER,403,"4,2 (+0,0)",48
Tierschutzpartei,120,"1,2 (+0,0)",48
Die PARTEI,61,"0,6 (-0,0)",48
PIRATEN,41,"0,4 (-0,0)",48
ÖDP,19,"0,2 (-0,0)",48
Verjüngungsforschung,0,"0,0 (+0,0)",48
V-Partei³,0,"0,0 (+0,0)",48
PdH,0,"0,0 (+0,0)",48
ABG,0,"0,0 (+0,0)",48
APPD,0,"0,0 (+0,0)",48
dieBasis,0,"0,0 (+0,0)",48
DKP,0,"0,0 (+0,0)",48
DIE NEUE MITTE,0,"0,0 (+0,0)",48
Volt,0,"0,0 (+0,0)",48
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",48
