partei,stimmen,prozent,wk
CDU,2548,"26,8 (-1,1)",17
GRÜNE,1518,"16,0 (-0,7)",17
SPD,1958,"20,6 (-0,8)",17
AfD,1381,"14,6 (-0,6)",17
FDP,597,"6,3 (-0,3)",17
DIE LINKE,456,"4,8 (-0,2)",17
FREIE WÄHLER,315,"3,3 (-0,1)",17
Tierschutzpartei,84,"0,9 (-0,0)",17
Die PARTEI,96,"1,0 (-0,0)",17
PIRATEN,26,"0,3 (-0,0)",17
ÖDP,18,"0,2 (-0,0)",17
Verjüngungsforschung,0,"0,0 (+0,0)",17
V-Partei³,0,"0,0 (+0,0)",17
PdH,0,"0,0 (+0,0)",17
ABG,0,"0,0 (+0,0)",17
APPD,0,"0,0 (+0,0)",17
dieBasis,0,"0,0 (+0,0)",17
DKP,0,"0,0 (+0,0)",17
DIE NEUE MITTE,0,"0,0 (+0,0)",17
Volt,0,"0,0 (+0,0)",17
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",17
