partei,stimmen,prozent,wk
CDU,1246,"24,0 (+0,0)",34
GRÜNE,1025,"19,8 (+0,0)",34
SPD,1069,"20,6 (+0,0)",34
AfD,721,"13,9 (+0,0)",34
FDP,307,"5,9 (+0,0)",34
DIE LINKE,465,"9,0 (-0,0)",34
FREIE WÄHLER,121,"2,3 (-0,0)",34
Tierschutzpartei,58,"1,1 (-0,0)",34
Die PARTEI,46,"0,9 (-0,0)",34
PIRATEN,23,"0,4 (-0,0)",34
ÖDP,14,"0,3 (-0,0)",34
Verjüngungsforschung,0,"0,0 (+0,0)",34
V-Partei³,0,"0,0 (+0,0)",34
PdH,0,"0,0 (+0,0)",34
ABG,0,"0,0 (+0,0)",34
APPD,0,"0,0 (+0,0)",34
dieBasis,0,"0,0 (+0,0)",34
DKP,0,"0,0 (+0,0)",34
DIE NEUE MITTE,0,"0,0 (+0,0)",34
Volt,0,"0,0 (+0,0)",34
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",34
