partei,stimmen,prozent,wk
CDU,1547,"20,4 (+0,0)",3
GRÜNE,2139,"28,3 (+0,1)",3
SPD,1548,"20,5 (+0,0)",3
AfD,682,"9,0 (+0,0)",3
FDP,450,"5,9 (+0,0)",3
DIE LINKE,835,"11,0 (+0,0)",3
FREIE WÄHLER,133,"1,8 (+0,0)",3
Tierschutzpartei,50,"0,7 (-0,0)",3
Die PARTEI,48,"0,6 (-0,0)",3
PIRATEN,41,"0,5 (-0,0)",3
ÖDP,20,"0,3 (-0,0)",3
Verjüngungsforschung,0,"0,0 (+0,0)",3
V-Partei³,0,"0,0 (+0,0)",3
PdH,0,"0,0 (+0,0)",3
ABG,0,"0,0 (+0,0)",3
APPD,0,"0,0 (+0,0)",3
dieBasis,0,"0,0 (+0,0)",3
DKP,0,"0,0 (+0,0)",3
DIE NEUE MITTE,0,"0,0 (+0,0)",3
Volt,0,"0,0 (+0,0)",3
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",3
