partei,stimmen,prozent,wk
CDU,1934,"24,6 (+0,0)",47
GRÜNE,1536,"19,6 (+0,0)",47
SPD,1690,"21,5 (+0,0)",47
AfD,1170,"14,9 (+0,0)",47
FDP,454,"5,8 (+0,0)",47
DIE LINKE,534,"6,8 (+0,0)",47
FREIE WÄHLER,235,"3,0 (-0,0)",47
Tierschutzpartei,97,"1,2 (-0,0)",47
Die PARTEI,41,"0,5 (-0,0)",47
PIRATEN,36,"0,5 (-0,0)",47
ÖDP,14,"0,2 (-0,0)",47
Verjüngungsforschung,0,"0,0 (+0,0)",47
V-Partei³,0,"0,0 (+0,0)",47
PdH,0,"0,0 (+0,0)",47
ABG,0,"0,0 (+0,0)",47
APPD,0,"0,0 (+0,0)",47
dieBasis,0,"0,0 (+0,0)",47
DKP,0,"0,0 (+0,0)",47
DIE NEUE MITTE,0,"0,0 (+0,0)",47
Volt,0,"0,0 (+0,0)",47
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",47
