partei,stimmen,prozent,wk
CDU,1532,"25,6 (+1,2)",9
GRÜNE,1068,"17,9 (+0,9)",9
SPD,1687,"28,2 (+1,4)",9
AfD,796,"13,3 (+0,6)",9
FDP,360,"6,0 (+0,3)",9
DIE LINKE,375,"6,3 (+0,3)",9
FREIE WÄHLER,294,"4,9 (+0,2)",9
Tierschutzpartei,51,"0,9 (+0,0)",9
Die PARTEI,29,"0,5 (+0,0)",9
PIRATEN,20,"0,3 (+0,0)",9
ÖDP,11,"0,2 (-0,0)",9
Verjüngungsforschung,0,"0,0 (+0,0)",9
V-Partei³,0,"0,0 (+0,0)",9
PdH,0,"0,0 (+0,0)",9
ABG,0,"0,0 (+0,0)",9
APPD,0,"0,0 (+0,0)",9
dieBasis,0,"0,0 (+0,0)",9
DKP,0,"0,0 (+0,0)",9
DIE NEUE MITTE,0,"0,0 (+0,0)",9
Volt,0,"0,0 (+0,0)",9
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",9
