partei,stimmen,prozent,wk
CDU,1329,"20,5 (+0,1)",35
GRÜNE,1685,"26,0 (+0,1)",35
SPD,1269,"19,6 (+0,0)",35
AfD,561,"8,7 (+0,0)",35
FDP,475,"7,3 (+0,0)",35
DIE LINKE,809,"12,5 (+0,0)",35
FREIE WÄHLER,113,"1,7 (-0,0)",35
Tierschutzpartei,60,"0,9 (-0,0)",35
Die PARTEI,61,"0,9 (-0,0)",35
PIRATEN,29,"0,4 (-0,0)",35
ÖDP,16,"0,2 (-0,0)",35
Verjüngungsforschung,0,"0,0 (+0,0)",35
V-Partei³,0,"0,0 (+0,0)",35
PdH,0,"0,0 (+0,0)",35
ABG,0,"0,0 (+0,0)",35
APPD,0,"0,0 (+0,0)",35
dieBasis,0,"0,0 (+0,0)",35
DKP,0,"0,0 (+0,0)",35
DIE NEUE MITTE,0,"0,0 (+0,0)",35
Volt,0,"0,0 (+0,0)",35
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",35
