partei,stimmen,prozent,wk
CDU,2116,"34,3 (+3,9)",5
GRÜNE,1142,"18,5 (+2,1)",5
SPD,1539,"24,9 (+2,8)",5
AfD,875,"14,2 (+1,6)",5
FDP,600,"9,7 (+1,1)",5
DIE LINKE,302,"4,9 (+0,5)",5
FREIE WÄHLER,221,"3,6 (+0,4)",5
Tierschutzpartei,52,"0,8 (+0,1)",5
Die PARTEI,24,"0,4 (+0,0)",5
PIRATEN,24,"0,4 (+0,0)",5
ÖDP,6,"0,1 (+0,0)",5
Verjüngungsforschung,0,"0,0 (+0,0)",5
V-Partei³,0,"0,0 (+0,0)",5
PdH,0,"0,0 (+0,0)",5
ABG,0,"0,0 (+0,0)",5
APPD,0,"0,0 (+0,0)",5
dieBasis,0,"0,0 (+0,0)",5
DKP,0,"0,0 (+0,0)",5
DIE NEUE MITTE,0,"0,0 (+0,0)",5
Volt,0,"0,0 (+0,0)",5
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",5
