partei,stimmen,prozent,wk
CDU,2739,"25,5 (-1,3)",40
GRÜNE,1852,"17,3 (-0,9)",40
SPD,2046,"19,1 (-0,9)",40
AfD,1581,"14,7 (-0,7)",40
FDP,715,"6,7 (-0,3)",40
DIE LINKE,490,"4,6 (-0,2)",40
FREIE WÄHLER,340,"3,2 (-0,2)",40
Tierschutzpartei,156,"1,5 (-0,1)",40
Die PARTEI,69,"0,6 (-0,0)",40
PIRATEN,34,"0,3 (-0,0)",40
ÖDP,51,"0,5 (-0,0)",40
Verjüngungsforschung,0,"0,0 (+0,0)",40
V-Partei³,0,"0,0 (+0,0)",40
PdH,0,"0,0 (+0,0)",40
ABG,0,"0,0 (+0,0)",40
APPD,0,"0,0 (+0,0)",40
dieBasis,0,"0,0 (+0,0)",40
DKP,0,"0,0 (+0,0)",40
DIE NEUE MITTE,0,"0,0 (+0,0)",40
Volt,0,"0,0 (+0,0)",40
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",40
