partei,stimmen,prozent,wk
CDU,2600,"29,3 (+0,1)",25
GRÜNE,2025,"22,8 (+0,1)",25
SPD,1530,"17,2 (+0,0)",25
AfD,1019,"11,5 (+0,0)",25
FDP,675,"7,6 (+0,0)",25
DIE LINKE,463,"5,2 (+0,0)",25
FREIE WÄHLER,285,"3,2 (+0,0)",25
Tierschutzpartei,90,"1,0 (-0,0)",25
Die PARTEI,64,"0,7 (+0,0)",25
PIRATEN,26,"0,3 (+0,0)",25
ÖDP,17,"0,2 (-0,0)",25
Verjüngungsforschung,0,"0,0 (+0,0)",25
V-Partei³,0,"0,0 (+0,0)",25
PdH,0,"0,0 (+0,0)",25
ABG,0,"0,0 (+0,0)",25
APPD,0,"0,0 (+0,0)",25
dieBasis,0,"0,0 (+0,0)",25
DKP,0,"0,0 (+0,0)",25
DIE NEUE MITTE,0,"0,0 (+0,0)",25
Volt,0,"0,0 (+0,0)",25
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",25
