partei,stimmen,prozent,wk
CDU,2823,"29,2 (+1,4)",20
GRÜNE,1422,"14,7 (+0,7)",20
SPD,2328,"24,1 (+1,2)",20
AfD,1637,"16,9 (+0,8)",20
FDP,698,"7,2 (+0,4)",20
DIE LINKE,499,"5,2 (+0,2)",20
FREIE WÄHLER,437,"4,5 (+0,2)",20
Tierschutzpartei,88,"0,9 (+0,0)",20
Die PARTEI,48,"0,5 (+0,0)",20
PIRATEN,29,"0,3 (+0,0)",20
ÖDP,26,"0,3 (+0,0)",20
Verjüngungsforschung,0,"0,0 (+0,0)",20
V-Partei³,0,"0,0 (+0,0)",20
PdH,0,"0,0 (+0,0)",20
ABG,0,"0,0 (+0,0)",20
APPD,0,"0,0 (+0,0)",20
dieBasis,0,"0,0 (+0,0)",20
DKP,0,"0,0 (+0,0)",20
DIE NEUE MITTE,0,"0,0 (+0,0)",20
Volt,0,"0,0 (+0,0)",20
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",20
