partei,stimmen,prozent,wk
CDU,2417,"23,7 (-1,3)",13
GRÜNE,2073,"20,3 (-1,1)",13
SPD,1966,"19,3 (-1,1)",13
AfD,1065,"10,4 (-0,6)",13
FDP,586,"5,7 (-0,3)",13
DIE LINKE,1030,"10,1 (-0,6)",13
FREIE WÄHLER,163,"1,6 (-0,1)",13
Tierschutzpartei,66,"0,6 (-0,0)",13
Die PARTEI,73,"0,7 (-0,0)",13
PIRATEN,53,"0,5 (-0,0)",13
ÖDP,40,"0,4 (-0,0)",13
Verjüngungsforschung,0,"0,0 (+0,0)",13
V-Partei³,0,"0,0 (+0,0)",13
PdH,0,"0,0 (+0,0)",13
ABG,0,"0,0 (+0,0)",13
APPD,0,"0,0 (+0,0)",13
dieBasis,0,"0,0 (+0,0)",13
DKP,0,"0,0 (+0,0)",13
DIE NEUE MITTE,0,"0,0 (+0,0)",13
Volt,0,"0,0 (+0,0)",13
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",13
