partei,stimmen,prozent,wk
CDU,2042,"29,4 (+0,1)",45
GRÜNE,1389,"20,0 (+0,0)",45
SPD,1148,"16,5 (+0,0)",45
AfD,989,"14,2 (+0,0)",45
FDP,510,"7,3 (+0,0)",45
DIE LINKE,384,"5,5 (+0,0)",45
FREIE WÄHLER,254,"3,7 (+0,0)",45
Tierschutzpartei,71,"1,0 (-0,0)",45
Die PARTEI,39,"0,6 (-0,0)",45
PIRATEN,26,"0,4 (-0,0)",45
ÖDP,15,"0,2 (-0,0)",45
Verjüngungsforschung,0,"0,0 (+0,0)",45
V-Partei³,0,"0,0 (+0,0)",45
PdH,0,"0,0 (+0,0)",45
ABG,0,"0,0 (+0,0)",45
APPD,0,"0,0 (+0,0)",45
dieBasis,0,"0,0 (+0,0)",45
DKP,0,"0,0 (+0,0)",45
DIE NEUE MITTE,0,"0,0 (+0,0)",45
Volt,0,"0,0 (+0,0)",45
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",45
