partei,stimmen,prozent,wk
CDU,2342,"32,1 (+6,1)",26
GRÜNE,1370,"18,8 (+3,5)",26
SPD,1819,"24,9 (+4,7)",26
AfD,1605,"22,0 (+4,1)",26
FDP,604,"8,3 (+1,6)",26
DIE LINKE,413,"5,7 (+1,1)",26
FREIE WÄHLER,381,"5,2 (+1,0)",26
Tierschutzpartei,124,"1,7 (+0,3)",26
Die PARTEI,58,"0,8 (+0,1)",26
PIRATEN,31,"0,4 (+0,1)",26
ÖDP,29,"0,4 (+0,1)",26
Verjüngungsforschung,0,"0,0 (+0,0)",26
V-Partei³,0,"0,0 (+0,0)",26
PdH,0,"0,0 (+0,0)",26
ABG,0,"0,0 (+0,0)",26
APPD,0,"0,0 (+0,0)",26
dieBasis,0,"0,0 (+0,0)",26
DKP,0,"0,0 (+0,0)",26
DIE NEUE MITTE,0,"0,0 (+0,0)",26
Volt,0,"0,0 (+0,0)",26
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",26
