partei,stimmen,prozent,wk
CDU,2263,"31,6 (+0,2)",28
GRÜNE,1481,"20,7 (+0,1)",28
SPD,1230,"17,2 (+0,1)",28
AfD,910,"12,7 (+0,1)",28
FDP,594,"8,3 (+0,0)",28
DIE LINKE,332,"4,6 (+0,0)",28
FREIE WÄHLER,159,"2,2 (+0,0)",28
Tierschutzpartei,70,"1,0 (-0,0)",28
Die PARTEI,45,"0,6 (-0,0)",28
PIRATEN,22,"0,3 (+0,0)",28
ÖDP,15,"0,2 (-0,0)",28
Verjüngungsforschung,0,"0,0 (+0,0)",28
V-Partei³,0,"0,0 (+0,0)",28
PdH,0,"0,0 (+0,0)",28
ABG,0,"0,0 (+0,0)",28
APPD,0,"0,0 (+0,0)",28
dieBasis,0,"0,0 (+0,0)",28
DKP,0,"0,0 (+0,0)",28
DIE NEUE MITTE,0,"0,0 (+0,0)",28
Volt,0,"0,0 (+0,0)",28
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",28
