partei,stimmen,prozent,wk
CDU,2247,"31,4 (+4,8)",53
GRÜNE,1333,"18,6 (+2,8)",53
SPD,1882,"26,3 (+4,0)",53
AfD,1234,"17,3 (+2,6)",53
FDP,735,"10,3 (+1,6)",53
DIE LINKE,514,"7,2 (+1,1)",53
FREIE WÄHLER,196,"2,7 (+0,4)",53
Tierschutzpartei,106,"1,5 (+0,2)",53
Die PARTEI,42,"0,6 (+0,1)",53
PIRATEN,28,"0,4 (+0,1)",53
ÖDP,14,"0,2 (+0,0)",53
Verjüngungsforschung,0,"0,0 (+0,0)",53
V-Partei³,0,"0,0 (+0,0)",53
PdH,0,"0,0 (+0,0)",53
ABG,0,"0,0 (+0,0)",53
APPD,0,"0,0 (+0,0)",53
dieBasis,0,"0,0 (+0,0)",53
DKP,0,"0,0 (+0,0)",53
DIE NEUE MITTE,0,"0,0 (+0,0)",53
Volt,0,"0,0 (+0,0)",53
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",53
