partei,stimmen,prozent,wk
CDU,2808,"33,5 (+0,3)",16
GRÜNE,1084,"12,9 (+0,1)",16
SPD,1707,"20,4 (+0,2)",16
AfD,1351,"16,1 (+0,1)",16
FDP,535,"6,4 (+0,1)",16
DIE LINKE,347,"4,1 (+0,0)",16
FREIE WÄHLER,239,"2,9 (+0,0)",16
Tierschutzpartei,72,"0,9 (+0,0)",16
Die PARTEI,63,"0,8 (+0,0)",16
PIRATEN,28,"0,3 (+0,0)",16
ÖDP,62,"0,7 (+0,0)",16
Verjüngungsforschung,0,"0,0 (+0,0)",16
V-Partei³,0,"0,0 (+0,0)",16
PdH,0,"0,0 (+0,0)",16
ABG,0,"0,0 (+0,0)",16
APPD,0,"0,0 (+0,0)",16
dieBasis,0,"0,0 (+0,0)",16
DKP,0,"0,0 (+0,0)",16
DIE NEUE MITTE,0,"0,0 (+0,0)",16
Volt,0,"0,0 (+0,0)",16
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",16
