partei,stimmen,prozent,wk
CDU,2826,"31,9 (+0,1)",24
GRÜNE,2031,"22,9 (+0,1)",24
SPD,1242,"14,0 (+0,0)",24
AfD,935,"10,5 (+0,0)",24
FDP,1036,"11,7 (+0,0)",24
DIE LINKE,392,"4,4 (+0,0)",24
FREIE WÄHLER,173,"2,0 (-0,0)",24
Tierschutzpartei,85,"1,0 (-0,0)",24
Die PARTEI,35,"0,4 (-0,0)",24
PIRATEN,33,"0,4 (-0,0)",24
ÖDP,14,"0,2 (-0,0)",24
Verjüngungsforschung,0,"0,0 (+0,0)",24
V-Partei³,0,"0,0 (+0,0)",24
PdH,0,"0,0 (+0,0)",24
ABG,0,"0,0 (+0,0)",24
APPD,0,"0,0 (+0,0)",24
dieBasis,0,"0,0 (+0,0)",24
DKP,0,"0,0 (+0,0)",24
DIE NEUE MITTE,0,"0,0 (+0,0)",24
Volt,0,"0,0 (+0,0)",24
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",24
