partei,stimmen,prozent,wk
CDU,2671,"27,5 (-1,5)",54
GRÜNE,1803,"18,6 (-1,0)",54
SPD,1598,"16,5 (-0,9)",54
AfD,1403,"14,4 (-0,8)",54
FDP,737,"7,6 (-0,4)",54
DIE LINKE,432,"4,4 (-0,2)",54
FREIE WÄHLER,220,"2,3 (-0,1)",54
Tierschutzpartei,124,"1,3 (-0,1)",54
Die PARTEI,45,"0,5 (-0,0)",54
PIRATEN,34,"0,4 (-0,0)",54
ÖDP,14,"0,1 (-0,0)",54
Verjüngungsforschung,0,"0,0 (+0,0)",54
V-Partei³,0,"0,0 (+0,0)",54
PdH,0,"0,0 (+0,0)",54
ABG,0,"0,0 (+0,0)",54
APPD,0,"0,0 (+0,0)",54
dieBasis,0,"0,0 (+0,0)",54
DKP,0,"0,0 (+0,0)",54
DIE NEUE MITTE,0,"0,0 (+0,0)",54
Volt,0,"0,0 (+0,0)",54
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",54
