partei,stimmen,prozent,wk
CDU,2428,"27,3 (+0,1)",44
GRÜNE,2101,"23,6 (+0,1)",44
SPD,1499,"16,9 (+0,0)",44
AfD,1051,"11,8 (+0,0)",44
FDP,741,"8,3 (+0,0)",44
DIE LINKE,545,"6,1 (+0,0)",44
FREIE WÄHLER,231,"2,6 (+0,0)",44
Tierschutzpartei,94,"1,1 (-0,0)",44
Die PARTEI,49,"0,6 (+0,0)",44
PIRATEN,42,"0,5 (-0,0)",44
ÖDP,18,"0,2 (-0,0)",44
Verjüngungsforschung,0,"0,0 (+0,0)",44
V-Partei³,0,"0,0 (+0,0)",44
PdH,0,"0,0 (+0,0)",44
ABG,0,"0,0 (+0,0)",44
APPD,0,"0,0 (+0,0)",44
dieBasis,0,"0,0 (+0,0)",44
DKP,0,"0,0 (+0,0)",44
DIE NEUE MITTE,0,"0,0 (+0,0)",44
Volt,0,"0,0 (+0,0)",44
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",44
