partei,stimmen,prozent,wk
CDU,1962,"33,0 (+3,9)",6
GRÜNE,1125,"18,9 (+2,2)",6
SPD,1543,"25,9 (+3,1)",6
AfD,950,"16,0 (+1,9)",6
FDP,481,"8,1 (+1,0)",6
DIE LINKE,313,"5,3 (+0,6)",6
FREIE WÄHLER,212,"3,6 (+0,4)",6
Tierschutzpartei,44,"0,7 (+0,1)",6
Die PARTEI,28,"0,5 (+0,0)",6
PIRATEN,29,"0,5 (+0,0)",6
ÖDP,9,"0,2 (+0,0)",6
Verjüngungsforschung,0,"0,0 (+0,0)",6
V-Partei³,0,"0,0 (+0,0)",6
PdH,0,"0,0 (+0,0)",6
ABG,0,"0,0 (+0,0)",6
APPD,0,"0,0 (+0,0)",6
dieBasis,0,"0,0 (+0,0)",6
DKP,0,"0,0 (+0,0)",6
DIE NEUE MITTE,0,"0,0 (+0,0)",6
Volt,0,"0,0 (+0,0)",6
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",6
