partei,stimmen,prozent,wk
CDU,2204,"22,8 (-2,4)",41
GRÜNE,1710,"17,7 (-1,9)",41
SPD,1655,"17,1 (-1,8)",41
AfD,1342,"13,9 (-1,5)",41
FDP,660,"6,8 (-0,7)",41
DIE LINKE,518,"5,4 (-0,6)",41
FREIE WÄHLER,237,"2,5 (-0,3)",41
Tierschutzpartei,123,"1,3 (-0,1)",41
Die PARTEI,69,"0,7 (-0,1)",41
PIRATEN,32,"0,3 (-0,0)",41
ÖDP,29,"0,3 (-0,0)",41
Verjüngungsforschung,0,"0,0 (+0,0)",41
V-Partei³,0,"0,0 (+0,0)",41
PdH,0,"0,0 (+0,0)",41
ABG,0,"0,0 (+0,0)",41
APPD,0,"0,0 (+0,0)",41
dieBasis,0,"0,0 (+0,0)",41
DKP,0,"0,0 (+0,0)",41
DIE NEUE MITTE,0,"0,0 (+0,0)",41
Volt,0,"0,0 (+0,0)",41
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",41
