partei,stimmen,prozent,wk
CDU,2374,"29,1 (+0,1)",29
GRÜNE,1675,"20,5 (+0,1)",29
SPD,1391,"17,1 (+0,1)",29
AfD,1078,"13,2 (+0,0)",29
FDP,737,"9,0 (+0,0)",29
DIE LINKE,440,"5,4 (+0,0)",29
FREIE WÄHLER,221,"2,7 (+0,0)",29
Tierschutzpartei,89,"1,1 (+0,0)",29
Die PARTEI,48,"0,6 (-0,0)",29
PIRATEN,23,"0,3 (-0,0)",29
ÖDP,15,"0,2 (-0,0)",29
Verjüngungsforschung,0,"0,0 (+0,0)",29
V-Partei³,0,"0,0 (+0,0)",29
PdH,0,"0,0 (+0,0)",29
ABG,0,"0,0 (+0,0)",29
APPD,0,"0,0 (+0,0)",29
dieBasis,0,"0,0 (+0,0)",29
DKP,0,"0,0 (+0,0)",29
DIE NEUE MITTE,0,"0,0 (+0,0)",29
Volt,0,"0,0 (+0,0)",29
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",29
