partei,stimmen,prozent,wk
CDU,2618,"33,0 (-3,4)",14
GRÜNE,1188,"15,0 (-1,5)",14
SPD,814,"10,3 (-1,1)",14
AfD,1213,"15,3 (-1,6)",14
FDP,556,"7,0 (-0,7)",14
DIE LINKE,339,"4,3 (-0,4)",14
FREIE WÄHLER,184,"2,3 (-0,2)",14
Tierschutzpartei,53,"0,7 (-0,1)",14
Die PARTEI,56,"0,7 (-0,1)",14
PIRATEN,22,"0,3 (-0,0)",14
ÖDP,29,"0,4 (-0,0)",14
Verjüngungsforschung,0,"0,0 (+0,0)",14
V-Partei³,0,"0,0 (+0,0)",14
PdH,0,"0,0 (+0,0)",14
ABG,0,"0,0 (+0,0)",14
APPD,0,"0,0 (+0,0)",14
dieBasis,0,"0,0 (+0,0)",14
DKP,0,"0,0 (+0,0)",14
DIE NEUE MITTE,0,"0,0 (+0,0)",14
Volt,0,"0,0 (+0,0)",14
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",14
