partei,stimmen,prozent,wk
CDU,2789,"27,3 (-1,9)",55
GRÜNE,2023,"19,8 (-1,4)",55
SPD,1600,"15,7 (-1,1)",55
AfD,1284,"12,6 (-0,9)",55
FDP,790,"7,7 (-0,5)",55
DIE LINKE,450,"4,4 (-0,3)",55
FREIE WÄHLER,283,"2,8 (-0,2)",55
Tierschutzpartei,111,"1,1 (-0,1)",55
Die PARTEI,49,"0,5 (-0,0)",55
PIRATEN,35,"0,3 (-0,0)",55
ÖDP,22,"0,2 (-0,0)",55
Verjüngungsforschung,0,"0,0 (+0,0)",55
V-Partei³,0,"0,0 (+0,0)",55
PdH,0,"0,0 (+0,0)",55
ABG,0,"0,0 (+0,0)",55
APPD,0,"0,0 (+0,0)",55
dieBasis,0,"0,0 (+0,0)",55
DKP,0,"0,0 (+0,0)",55
DIE NEUE MITTE,0,"0,0 (+0,0)",55
Volt,0,"0,0 (+0,0)",55
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",55
