partei,stimmen,prozent,wk
CDU,1837,"29,1 (+1,7)",10
GRÜNE,848,"13,4 (+0,8)",10
SPD,1865,"29,5 (+1,7)",10
AfD,993,"15,7 (+0,9)",10
FDP,378,"6,0 (+0,3)",10
DIE LINKE,300,"4,7 (+0,3)",10
FREIE WÄHLER,302,"4,8 (+0,3)",10
Tierschutzpartei,55,"0,9 (+0,0)",10
Die PARTEI,26,"0,4 (+0,0)",10
PIRATEN,20,"0,3 (+0,0)",10
ÖDP,10,"0,2 (-0,0)",10
Verjüngungsforschung,0,"0,0 (+0,0)",10
V-Partei³,0,"0,0 (+0,0)",10
PdH,0,"0,0 (+0,0)",10
ABG,0,"0,0 (+0,0)",10
APPD,0,"0,0 (+0,0)",10
dieBasis,0,"0,0 (+0,0)",10
DKP,0,"0,0 (+0,0)",10
DIE NEUE MITTE,0,"0,0 (+0,0)",10
Volt,0,"0,0 (+0,0)",10
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",10
