partei,stimmen,prozent,wk
CDU,2772,"29,8 (+0,0)",46
GRÜNE,1892,"20,3 (+0,0)",46
SPD,1417,"15,2 (+0,0)",46
AfD,1253,"13,4 (-0,0)",46
FDP,855,"9,2 (-0,0)",46
DIE LINKE,467,"5,0 (-0,0)",46
FREIE WÄHLER,308,"3,3 (-0,0)",46
Tierschutzpartei,108,"1,2 (-0,0)",46
Die PARTEI,60,"0,6 (-0,0)",46
PIRATEN,42,"0,5 (-0,0)",46
ÖDP,27,"0,3 (-0,0)",46
Verjüngungsforschung,0,"0,0 (+0,0)",46
V-Partei³,0,"0,0 (+0,0)",46
PdH,0,"0,0 (+0,0)",46
ABG,0,"0,0 (+0,0)",46
APPD,0,"0,0 (+0,0)",46
dieBasis,0,"0,0 (+0,0)",46
DKP,0,"0,0 (+0,0)",46
DIE NEUE MITTE,0,"0,0 (+0,0)",46
Volt,0,"0,0 (+0,0)",46
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",46
