partei,stimmen,prozent,wk
CDU,1885,"24,3 (+0,1)",36
GRÜNE,2038,"26,3 (+0,1)",36
SPD,1287,"16,6 (+0,0)",36
AfD,616,"8,0 (+0,0)",36
FDP,826,"10,7 (+0,0)",36
DIE LINKE,760,"9,8 (+0,0)",36
FREIE WÄHLER,108,"1,4 (-0,0)",36
Tierschutzpartei,46,"0,6 (-0,0)",36
Die PARTEI,68,"0,9 (-0,0)",36
PIRATEN,29,"0,4 (-0,0)",36
ÖDP,16,"0,2 (-0,0)",36
Verjüngungsforschung,0,"0,0 (+0,0)",36
V-Partei³,0,"0,0 (+0,0)",36
PdH,0,"0,0 (+0,0)",36
ABG,0,"0,0 (+0,0)",36
APPD,0,"0,0 (+0,0)",36
dieBasis,0,"0,0 (+0,0)",36
DKP,0,"0,0 (+0,0)",36
DIE NEUE MITTE,0,"0,0 (+0,0)",36
Volt,0,"0,0 (+0,0)",36
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",36
