partei,stimmen,prozent,wk
CDU,2067,"31,9 (+1,9)",22
GRÜNE,1047,"16,2 (+1,0)",22
SPD,1498,"23,1 (+1,4)",22
AfD,987,"15,2 (+0,9)",22
FDP,500,"7,7 (+0,4)",22
DIE LINKE,289,"4,5 (+0,3)",22
FREIE WÄHLER,277,"4,3 (+0,2)",22
Tierschutzpartei,69,"1,1 (+0,1)",22
Die PARTEI,41,"0,6 (+0,0)",22
PIRATEN,23,"0,4 (+0,0)",22
ÖDP,7,"0,1 (-0,0)",22
Verjüngungsforschung,0,"0,0 (+0,0)",22
V-Partei³,0,"0,0 (+0,0)",22
PdH,0,"0,0 (+0,0)",22
ABG,0,"0,0 (+0,0)",22
APPD,0,"0,0 (+0,0)",22
dieBasis,0,"0,0 (+0,0)",22
DKP,0,"0,0 (+0,0)",22
DIE NEUE MITTE,0,"0,0 (+0,0)",22
Volt,0,"0,0 (+0,0)",22
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",22
