partei,stimmen,prozent,wk
CDU,1868,"23,4 (-2,3)",39
GRÜNE,1692,"21,2 (-2,0)",39
SPD,1376,"17,2 (-1,7)",39
AfD,769,"9,6 (-0,9)",39
FDP,574,"7,2 (-0,7)",39
DIE LINKE,592,"7,4 (-0,7)",39
FREIE WÄHLER,151,"1,9 (-0,2)",39
Tierschutzpartei,68,"0,9 (-0,1)",39
Die PARTEI,48,"0,6 (-0,1)",39
PIRATEN,28,"0,4 (-0,0)",39
ÖDP,16,"0,2 (-0,0)",39
Verjüngungsforschung,0,"0,0 (+0,0)",39
V-Partei³,0,"0,0 (+0,0)",39
PdH,0,"0,0 (+0,0)",39
ABG,0,"0,0 (+0,0)",39
APPD,0,"0,0 (+0,0)",39
dieBasis,0,"0,0 (+0,0)",39
DKP,0,"0,0 (+0,0)",39
DIE NEUE MITTE,0,"0,0 (+0,0)",39
Volt,0,"0,0 (+0,0)",39
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",39
