partei,stimmen,prozent,wk
CDU,1626,"24,7 (+0,0)",37
GRÜNE,1720,"26,1 (+0,0)",37
SPD,1162,"17,6 (+0,0)",37
AfD,586,"8,9 (+0,0)",37
FDP,587,"8,9 (+0,0)",37
DIE LINKE,596,"9,0 (+0,0)",37
FREIE WÄHLER,116,"1,8 (+0,0)",37
Tierschutzpartei,44,"0,7 (-0,0)",37
Die PARTEI,50,"0,8 (-0,0)",37
PIRATEN,24,"0,4 (-0,0)",37
ÖDP,15,"0,2 (-0,0)",37
Verjüngungsforschung,0,"0,0 (+0,0)",37
V-Partei³,0,"0,0 (+0,0)",37
PdH,0,"0,0 (+0,0)",37
ABG,0,"0,0 (+0,0)",37
APPD,0,"0,0 (+0,0)",37
dieBasis,0,"0,0 (+0,0)",37
DKP,0,"0,0 (+0,0)",37
DIE NEUE MITTE,0,"0,0 (+0,0)",37
Volt,0,"0,0 (+0,0)",37
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",37
