partei,stimmen,prozent,wk
CDU,1904,"19,0 (-3,0)",2
GRÜNE,1478,"14,8 (-2,3)",2
SPD,2719,"27,2 (-4,2)",2
AfD,1098,"11,0 (-1,7)",2
FDP,524,"5,2 (-0,8)",2
DIE LINKE,493,"4,9 (-0,8)",2
FREIE WÄHLER,198,"2,0 (-0,3)",2
Tierschutzpartei,83,"0,8 (-0,1)",2
Die PARTEI,34,"0,3 (-0,1)",2
PIRATEN,35,"0,3 (-0,1)",2
ÖDP,9,"0,1 (-0,0)",2
Verjüngungsforschung,0,"0,0 (+0,0)",2
V-Partei³,0,"0,0 (+0,0)",2
PdH,0,"0,0 (+0,0)",2
ABG,0,"0,0 (+0,0)",2
APPD,0,"0,0 (+0,0)",2
dieBasis,0,"0,0 (+0,0)",2
DKP,0,"0,0 (+0,0)",2
DIE NEUE MITTE,0,"0,0 (+0,0)",2
Volt,0,"0,0 (+0,0)",2
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",2
