partei,stimmen,prozent,wk
CDU,1989,"21,1 (-2,2)",1
GRÜNE,1296,"13,8 (-1,5)",1
SPD,2507,"26,6 (-2,8)",1
AfD,1120,"11,9 (-1,3)",1
FDP,558,"5,9 (-0,6)",1
DIE LINKE,448,"4,8 (-0,5)",1
FREIE WÄHLER,369,"3,9 (-0,4)",1
Tierschutzpartei,79,"0,8 (-0,1)",1
Die PARTEI,37,"0,4 (-0,1)",1
PIRATEN,30,"0,3 (-0,0)",1
ÖDP,9,"0,1 (-0,0)",1
Verjüngungsforschung,0,"0,0 (+0,0)",1
V-Partei³,0,"0,0 (+0,0)",1
PdH,0,"0,0 (+0,0)",1
ABG,0,"0,0 (+0,0)",1
APPD,0,"0,0 (+0,0)",1
dieBasis,0,"0,0 (+0,0)",1
DKP,0,"0,0 (+0,0)",1
DIE NEUE MITTE,0,"0,0 (+0,0)",1
Volt,0,"0,0 (+0,0)",1
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",1
