partei,stimmen,prozent,wk
CDU,2125,"33,8 (+0,2)",21
GRÜNE,991,"15,8 (+0,1)",21
SPD,1071,"17,0 (+0,1)",21
AfD,889,"14,1 (+0,1)",21
FDP,563,"9,0 (+0,0)",21
DIE LINKE,246,"3,9 (+0,0)",21
FREIE WÄHLER,244,"3,9 (+0,0)",21
Tierschutzpartei,51,"0,8 (-0,0)",21
Die PARTEI,44,"0,7 (-0,0)",21
PIRATEN,14,"0,2 (+0,0)",21
ÖDP,7,"0,1 (-0,0)",21
Verjüngungsforschung,0,"0,0 (+0,0)",21
V-Partei³,0,"0,0 (+0,0)",21
PdH,0,"0,0 (+0,0)",21
ABG,0,"0,0 (+0,0)",21
APPD,0,"0,0 (+0,0)",21
dieBasis,0,"0,0 (+0,0)",21
DKP,0,"0,0 (+0,0)",21
DIE NEUE MITTE,0,"0,0 (+0,0)",21
Volt,0,"0,0 (+0,0)",21
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",21
