partei,stimmen,prozent,wk
CDU,3553,"37,2 (+0,0)",15
GRÜNE,1406,"14,7 (+0,0)",15
SPD,1186,"12,4 (+0,0)",15
AfD,1738,"18,2 (+0,0)",15
FDP,717,"7,5 (-0,0)",15
DIE LINKE,335,"3,5 (+0,0)",15
FREIE WÄHLER,334,"3,5 (-0,0)",15
Tierschutzpartei,78,"0,8 (-0,0)",15
Die PARTEI,52,"0,5 (-0,0)",15
PIRATEN,29,"0,3 (-0,0)",15
ÖDP,25,"0,3 (-0,0)",15
Verjüngungsforschung,0,"0,0 (+0,0)",15
V-Partei³,0,"0,0 (+0,0)",15
PdH,0,"0,0 (+0,0)",15
ABG,0,"0,0 (+0,0)",15
APPD,0,"0,0 (+0,0)",15
dieBasis,0,"0,0 (+0,0)",15
DKP,0,"0,0 (+0,0)",15
DIE NEUE MITTE,0,"0,0 (+0,0)",15
Volt,0,"0,0 (+0,0)",15
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",15
