partei,stimmen,prozent,wk
CDU,2346,"29,3 (+5,9)",50
GRÜNE,2525,"31,6 (+6,4)",50
SPD,2004,"25,1 (+5,1)",50
AfD,1040,"13,0 (+2,6)",50
FDP,705,"8,8 (+1,8)",50
DIE LINKE,799,"10,0 (+2,0)",50
FREIE WÄHLER,205,"2,6 (+0,5)",50
Tierschutzpartei,103,"1,3 (+0,3)",50
Die PARTEI,69,"0,9 (+0,2)",50
PIRATEN,60,"0,8 (+0,2)",50
ÖDP,39,"0,5 (+0,1)",50
Verjüngungsforschung,0,"0,0 (+0,0)",50
V-Partei³,0,"0,0 (+0,0)",50
PdH,0,"0,0 (+0,0)",50
ABG,0,"0,0 (+0,0)",50
APPD,0,"0,0 (+0,0)",50
dieBasis,0,"0,0 (+0,0)",50
DKP,0,"0,0 (+0,0)",50
DIE NEUE MITTE,0,"0,0 (+0,0)",50
Volt,0,"0,0 (+0,0)",50
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",50
