partei,stimmen,prozent,wk
CDU,2272,"22,2 (-1,6)",18
GRÜNE,2158,"21,1 (-1,5)",18
SPD,1949,"19,0 (-1,4)",18
AfD,1035,"10,1 (-0,7)",18
FDP,579,"5,7 (-0,4)",18
DIE LINKE,867,"8,5 (-0,6)",18
FREIE WÄHLER,262,"2,6 (-0,2)",18
Tierschutzpartei,87,"0,8 (-0,1)",18
Die PARTEI,103,"1,0 (-0,1)",18
PIRATEN,47,"0,5 (-0,0)",18
ÖDP,54,"0,5 (-0,0)",18
Verjüngungsforschung,0,"0,0 (+0,0)",18
V-Partei³,0,"0,0 (+0,0)",18
PdH,0,"0,0 (+0,0)",18
ABG,0,"0,0 (+0,0)",18
APPD,0,"0,0 (+0,0)",18
dieBasis,0,"0,0 (+0,0)",18
DKP,0,"0,0 (+0,0)",18
DIE NEUE MITTE,0,"0,0 (+0,0)",18
Volt,0,"0,0 (+0,0)",18
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",18
