partei,stimmen,prozent,wk
CDU,2946,"31,8 (+0,1)",32
GRÜNE,2106,"22,7 (+0,1)",32
SPD,1345,"14,5 (+0,0)",32
AfD,1046,"11,3 (+0,0)",32
FDP,941,"10,2 (+0,0)",32
DIE LINKE,406,"4,4 (+0,0)",32
FREIE WÄHLER,245,"2,6 (-0,0)",32
Tierschutzpartei,74,"0,8 (-0,0)",32
Die PARTEI,41,"0,4 (-0,0)",32
PIRATEN,30,"0,3 (-0,0)",32
ÖDP,16,"0,2 (-0,0)",32
Verjüngungsforschung,0,"0,0 (+0,0)",32
V-Partei³,0,"0,0 (+0,0)",32
PdH,0,"0,0 (+0,0)",32
ABG,0,"0,0 (+0,0)",32
APPD,0,"0,0 (+0,0)",32
dieBasis,0,"0,0 (+0,0)",32
DKP,0,"0,0 (+0,0)",32
DIE NEUE MITTE,0,"0,0 (+0,0)",32
Volt,0,"0,0 (+0,0)",32
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",32
