partei,stimmen,prozent,wk
CDU,2698,"30,1 (+1,9)",12
GRÜNE,1417,"15,8 (+1,0)",12
SPD,2297,"25,6 (+1,6)",12
AfD,1417,"15,8 (+1,0)",12
FDP,597,"6,7 (+0,4)",12
DIE LINKE,577,"6,4 (+0,4)",12
FREIE WÄHLER,261,"2,9 (+0,2)",12
Tierschutzpartei,92,"1,0 (+0,1)",12
Die PARTEI,40,"0,4 (+0,0)",12
PIRATEN,32,"0,4 (+0,0)",12
ÖDP,38,"0,4 (+0,0)",12
Verjüngungsforschung,0,"0,0 (+0,0)",12
V-Partei³,0,"0,0 (+0,0)",12
PdH,0,"0,0 (+0,0)",12
ABG,0,"0,0 (+0,0)",12
APPD,0,"0,0 (+0,0)",12
dieBasis,0,"0,0 (+0,0)",12
DKP,0,"0,0 (+0,0)",12
DIE NEUE MITTE,0,"0,0 (+0,0)",12
Volt,0,"0,0 (+0,0)",12
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",12
