partei,stimmen,prozent,wk
CDU,2742,"29,9 (+0,1)",33
GRÜNE,2006,"21,9 (+0,0)",33
SPD,1488,"16,2 (+0,0)",33
AfD,1096,"12,0 (+0,0)",33
FDP,768,"8,4 (+0,0)",33
DIE LINKE,501,"5,5 (+0,0)",33
FREIE WÄHLER,285,"3,1 (-0,0)",33
Tierschutzpartei,88,"1,0 (-0,0)",33
Die PARTEI,47,"0,5 (-0,0)",33
PIRATEN,29,"0,3 (+0,0)",33
ÖDP,25,"0,3 (-0,0)",33
Verjüngungsforschung,0,"0,0 (+0,0)",33
V-Partei³,0,"0,0 (+0,0)",33
PdH,0,"0,0 (+0,0)",33
ABG,0,"0,0 (+0,0)",33
APPD,0,"0,0 (+0,0)",33
dieBasis,0,"0,0 (+0,0)",33
DKP,0,"0,0 (+0,0)",33
DIE NEUE MITTE,0,"0,0 (+0,0)",33
Volt,0,"0,0 (+0,0)",33
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",33
