partei,stimmen,prozent,wk
CDU,1747,"23,9 (+0,1)",8
GRÜNE,992,"13,6 (+0,0)",8
SPD,1914,"26,2 (+0,1)",8
AfD,1224,"16,7 (+0,0)",8
FDP,519,"7,1 (+0,0)",8
DIE LINKE,322,"4,4 (+0,0)",8
FREIE WÄHLER,398,"5,4 (+0,0)",8
Tierschutzpartei,64,"0,9 (-0,0)",8
Die PARTEI,33,"0,5 (-0,0)",8
PIRATEN,30,"0,4 (-0,0)",8
ÖDP,5,"0,1 (-0,0)",8
Verjüngungsforschung,0,"0,0 (+0,0)",8
V-Partei³,0,"0,0 (+0,0)",8
PdH,0,"0,0 (+0,0)",8
ABG,0,"0,0 (+0,0)",8
APPD,0,"0,0 (+0,0)",8
dieBasis,0,"0,0 (+0,0)",8
DKP,0,"0,0 (+0,0)",8
DIE NEUE MITTE,0,"0,0 (+0,0)",8
Volt,0,"0,0 (+0,0)",8
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",8
