partei,stimmen,prozent,wk
CDU,2322,"31,3 (+2,9)",27
GRÜNE,1509,"20,4 (+1,9)",27
SPD,1611,"21,7 (+2,0)",27
AfD,1107,"14,9 (+1,4)",27
FDP,612,"8,3 (+0,8)",27
DIE LINKE,379,"5,1 (+0,5)",27
FREIE WÄHLER,329,"4,4 (+0,4)",27
Tierschutzpartei,79,"1,1 (+0,1)",27
Die PARTEI,45,"0,6 (+0,0)",27
PIRATEN,26,"0,4 (+0,0)",27
ÖDP,19,"0,3 (+0,0)",27
Verjüngungsforschung,0,"0,0 (+0,0)",27
V-Partei³,0,"0,0 (+0,0)",27
PdH,0,"0,0 (+0,0)",27
ABG,0,"0,0 (+0,0)",27
APPD,0,"0,0 (+0,0)",27
dieBasis,0,"0,0 (+0,0)",27
DKP,0,"0,0 (+0,0)",27
DIE NEUE MITTE,0,"0,0 (+0,0)",27
Volt,0,"0,0 (+0,0)",27
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",27
