partei,stimmen,prozent,wk
CDU,2645,"25,7 (-2,3)",42
GRÜNE,1535,"14,9 (-1,4)",42
SPD,1716,"16,7 (-1,5)",42
AfD,1659,"16,1 (-1,5)",42
FDP,644,"6,3 (-0,6)",42
DIE LINKE,438,"4,3 (-0,4)",42
FREIE WÄHLER,405,"3,9 (-0,4)",42
Tierschutzpartei,104,"1,0 (-0,1)",42
Die PARTEI,66,"0,6 (-0,1)",42
PIRATEN,30,"0,3 (-0,0)",42
ÖDP,46,"0,4 (-0,0)",42
Verjüngungsforschung,0,"0,0 (+0,0)",42
V-Partei³,0,"0,0 (+0,0)",42
PdH,0,"0,0 (+0,0)",42
ABG,0,"0,0 (+0,0)",42
APPD,0,"0,0 (+0,0)",42
dieBasis,0,"0,0 (+0,0)",42
DKP,0,"0,0 (+0,0)",42
DIE NEUE MITTE,0,"0,0 (+0,0)",42
Volt,0,"0,0 (+0,0)",42
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",42
