Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 08.10.2023 19:01:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
01000000000;"Rotenburg";"WK";;"";15967;12275;3692;0;8437;729;52,8;2;169;8268;2,0;98,0;3171;392;1811;2061;222;124;487;;;;;;;;;;;;;;;;;;;;;;;38,4;4,7;21,9;24,9;2,7;1,5;5,9;;;;;;;;;;;;;;;;;;;;;;;171;8266;2,0;98,0;2874;483;1632;2152;270;128;430;104;56;18;13;7;8;4;16;1;40;9;4;12;5;;;;;;;;;34,8;5,8;19,7;26,0;3,3;1,5;5,2;1,3;0,7;0,2;0,2;0,1;0,1;0,0;0,2;0,0;0,5;0,1;0,0;0,1;0,1;;;;;;;;;"";"";"";"";163;55;2023-10-08 19:00:42;0;;"";
01100000000;"Hersfeld";"WK";;"";9011;6814;2197;0;4417;1;49,0;2;83;4334;1,9;98,1;1539;245;892;1045;217;71;325;;;;;;;;;;;;;;;;;;;;;;;35,5;5,7;20,6;24,1;5,0;1,6;7,5;;;;;;;;;;;;;;;;;;;;;;;92;4325;2,1;97,9;1582;249;729;1078;182;72;263;77;23;5;14;2;9;2;3;1;11;1;2;17;3;;;;;;;;;36,6;5,8;16,9;24,9;4,2;1,7;6,1;1,8;0,5;0,1;0,3;0,0;0,2;0,0;0,1;0,0;0,3;0,0;0,0;0,4;0,1;;;;;;;;;"";"";"";"";157;37;2023-10-08 18:59:18;0;;"";
01200000000;"Marburg-Biedenkopf I";"WK";;"";18103;14166;3937;0;9110;63;50,3;2;173;8937;1,9;98,1;3536;700;1633;1987;233;251;597;;;;;;;;;;;;;;;;;;;;;;;39,6;7,8;18,3;22,2;2,6;2,8;6,7;;;;;;;;;;;;;;;;;;;;;;;128;8982;1,4;98,6;3210;791;1430;2169;291;243;467;118;55;21;19;6;26;6;22;13;54;3;2;25;11;;;;;;;;;35,7;8,8;15,9;24,1;3,2;2,7;5,2;1,3;0,6;0,2;0,2;0,1;0,3;0,1;0,2;0,1;0,6;0,0;0,0;0,3;0,1;;;;;;;;;"";"";"";"";185;51;2023-10-08 19:00:52;0;;"";
01300000000;"Marburg-Biedenkopf II";"WK";;"";5467;4479;987;1;2411;14;44,1;2;50;2361;2,1;97,9;784;273;458;496;81;123;105;;30;;;;;;;;;;;;;;11;;;;;;;33,2;11,6;19,4;21,0;3,4;5,2;4,4;;1,3;;;;;;;;;;;;;;0,5;;;;;;;52;2359;2,2;97,8;741;307;364;524;92;121;83;34;23;8;5;1;7;5;0;2;21;2;1;10;8;;;;;;;;;31,4;13,0;15,4;22,2;3,9;5,1;3,5;1,4;1,0;0,3;0,2;0,0;0,3;0,2;0,0;0,1;0,9;0,1;0,0;0,4;0,3;;;;;;;;;"";"";"";"";164;14;2023-10-08 18:58:25;0;;"";
01400000000;"Fulda I";"WK";;"";4389;3418;971;0;2333;91;53,2;2;48;2285;2,1;97,9;1217;167;144;524;65;29;103;;30;;;;;;4;;;;;;;2;;;;;;;;53,3;7,3;6,3;22,9;2,8;1,3;4,5;;1,3;;;;;;0,2;;;;;;;0,1;;;;;;;;56;2277;2,4;97,6;1113;172;131;584;74;28;103;20;17;2;3;1;9;1;2;0;7;0;1;6;3;;;;;;;;;48,9;7,6;5,8;25,6;3,2;1,2;4,5;0,9;0,7;0,1;0,1;0,0;0,4;0,0;0,1;0,0;0,3;0,0;0,0;0,3;0,1;;;;;;;;;"";"";"";"";146;17;2023-10-08 19:00:09;0;;"";
01500000000;"Fulda II";"WK";;"";6853;5465;1388;0;4506;437;65,8;2;109;4397;2,4;97,6;2276;275;347;1106;124;35;181;;41;;;;;;12;;;;;;;0;;;;;;;;51,8;6,3;7,9;25,2;2,8;0,8;4,1;;0,9;;;;;;0,3;;;;;;;0,0;;;;;;;;110;4396;2,4;97,6;2125;301;290;1197;137;48;151;43;31;5;4;1;11;5;14;0;21;0;2;7;3;;;;;;;;;48,3;6,8;6,6;27,2;3,1;1,1;3,4;1,0;0,7;0,1;0,1;0,0;0,3;0,1;0,3;0,0;0,5;0,0;0,0;0,2;0,1;;;;;;;;;"";"";"";"";184;33;2023-10-08 19:00:06;0;;"";
01600000000;"Lahn-Dill I";"WK";;"";10768;8752;2016;0;5121;4;47,6;2;112;5009;2,2;97,8;1958;366;737;1409;194;104;241;;;;;;;;;;;;;;;;;;;;;;;39,1;7,3;14,7;28,1;3,9;2,1;4,8;;;;;;;;;;;;;;;;;;;;;;;85;5036;1,7;98,3;1871;398;637;1458;166;73;207;84;47;10;20;0;9;3;6;7;23;1;3;6;7;;;;;;;;;37,2;7,9;12,6;29,0;3,3;1,4;4,1;1,7;0,9;0,2;0,4;0,0;0,2;0,1;0,1;0,1;0,5;0,0;0,1;0,1;0,1;;;;;;;;;"";"";"";"";141;22;2023-10-08 19:00:24;0;;"";
01700000000;"Lahn-Dill II";"WK";;"";4026;3183;843;0;2543;502;63,2;2;49;2494;1,9;98,1;833;224;408;686;89;67;146;;41;;;;;;;;;;;;;;;;;;;;;33,4;9,0;16,4;27,5;3,6;2,7;5,9;;1,6;;;;;;;;;;;;;;;;;;;;;47;2496;1,8;98,2;822;233;359;698;89;63;105;43;30;7;3;0;11;1;10;0;11;2;0;8;1;;;;;;;;;32,9;9,3;14,4;28,0;3,6;2,5;4,2;1,7;1,2;0,3;0,1;0,0;0,4;0,0;0,4;0,0;0,4;0,1;0,0;0,3;0,0;;;;;;;;;"";"";"";"";130;10;2023-10-08 18:58:41;0;;"";
01800000000;"Gießen I";"WK";;"";696;503;193;0;304;8;43,7;2;5;299;1,6;98,4;132;44;48;38;12;13;7;;5;;;;;;;;;0;;;;0;;;;;;;;44,1;14,7;16,1;12,7;4,0;4,3;2,3;;1,7;;;;;;;;;0,0;;;;0,0;;;;;;;;4;300;1,3;98,7;118;51;33;40;13;20;5;8;1;4;3;0;0;0;0;0;3;0;0;1;0;;;;;;;;;39,3;17,0;11,0;13,3;4,3;6,7;1,7;2,7;0,3;1,3;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,3;0,0;;;;;;;;;"";"";"";"";121;1;2023-10-08 18:56:05;0;;"";
01900000000;"Gießen II";"WK";;"";2729;2099;630;0;1413;0;51,8;2;23;1390;1,6;98,4;483;105;224;336;62;49;120;;;;;;;;;;7;;;;;4;;;;;;;;34,7;7,6;16,1;24,2;4,5;3,5;8,6;;;;;;;;;;0,5;;;;;0,3;;;;;;;;23;1390;1,6;98,4;469;132;174;343;60;32;98;25;9;4;7;1;13;1;3;0;1;0;1;13;4;;;;;;;;;33,7;9,5;12,5;24,7;4,3;2,3;7,1;1,8;0,6;0,3;0,5;0,1;0,9;0,1;0,2;0,0;0,1;0,0;0,1;0,9;0,3;;;;;;;;;"";"";"";"";138;7;2023-10-08 19:01:02;0;;"";
