name,partei,stimmen,prozent
Heitland (CDU),CDU,1685,"42,5 (+10,1)"
Tjarks (GRÜNE),GRÜNE,715,"18,0 (-3,0)"
Koebe (SPD),SPD,567,"14,3 (-5,2)"
Taufertshöfer (AfD),AfD,589,"14,8 (+1,1)"
Zettl (FDP),FDP,207,"5,2 (-3,3)"
Totzer (DIE LINKE),DIE LINKE,77,"1,9 (-3,0)"
Münch (FREIE WÄHLER),FREIE WÄHLER,128,"3,2 (+3,2)"
